n,key,year
14260,a,459
15308,a,460
14079,a,461
13100,a,462
12119,a,463
12635,a,464
13627,a,465
14080,a,466
15259,a,467
14183,a,468
11787,a,469
9975,a,470
12318,a,471
12435,a,472
13195,a,473
13766,a,474
11602,a,475
9469,a,476
10626,a,477
8671,a,478
11638,a,479
12491,a,480
13531,a,481
10030,a,482
6237,a,483
8787,a,484
11310,a,485
11394,a,486
12016,a,487
12687,a,488
12488,a,489
11842,a,490
8237,a,491
8851,a,492
9675,a,493
11161,a,494
12897,a,495
11690,a,496
9784,a,497
4833,a,498
8115,a,499
9065,a,500
10483,a,501
11252,a,502
10820,a,503
9792,a,504
8986,a,505
10228,a,506
10843,a,507
11191,a,508
13047,a,509
11769,a,510
10672,a,511
9655,a,512
10436,a,513
11059,a,514
11351,a,515
12317,a,516
10147,a,517
7309,a,518
7898,a,519
8662,a,520
9793,a,521
10505,a,522
11373,a,523
10675,a,524
8861,a,525
8468,a,526
9096,a,527
9404,a,528
10347,a,529
10911,a,530
9759,a,531
8851,a,532
8110,a,533
7864,a,534
9191,a,535
9890,a,536
11271,a,537
9905,a,538
8705,a,539
7904,a,540
9558,a,541
9969,a,542
10519,a,543
11045,a,544
10340,a,545
8535,a,546
8822,a,547
9532,a,548
8785,a,549
5070,a,550
3546,a,551
5136,a,552
5587,a,553
4869,a,554
6398,a,555
6977,a,556
4951,a,557
3658,a,558
5037,a,559
4072,a,560
4314,a,561
6856,a,562
3653,a,563
6727,a,564
6710,a,565
6258,a,566
3273,a,567
5950,a,568
7762,a,569
8127,a,570
5401,a,571
8084,a,572
7442,a,573
5916,a,574
7053,a,575
7713,a,576
7928,a,577
8002,a,578
7728,a,579
8541,a,580
8590,a,581
8215,a,582
8955,a,583
8349,a,584
6220,a,585
7661,a,586
8065,a,587
7826,a,588
8590,a,589
8856,a,590
9282,a,591
9045,a,592
9240,a,593
6983,a,594
5546,a,595
7460,a,596
7492,a,597
8672,a,598
7515,a,599
5159,a,600
5313,a,601
4219,a,602
6789,a,603
7354,a,604
7507,a,605
6739,a,606
8387,a,607
7642,a,608
6976,a,609
7981,a,610
8929,a,611
6993,a,612
8585,a,613
4598,a,614
5783,a,615
5398,a,616
7848,a,617
8599,a,618
9315,a,619
9432,a,620
8553,a,621
6319,a,622
6065,a,623
6306,a,624
8096,a,625
8123,a,626
8514,a,627
9064,a,628
7836,a,629
7376,a,630
7917,a,631
8820,a,632
9448,a,633
9764,a,634
8053,a,635
4560,a,636
4930,a,637
4193,a,638
6380,a,639
6254,a,640
4445,a,641
3942,a,642
4500,a,643
4878,a,644
6577,a,645
8635,a,646
9936,a,647
8770,a,648
9502,a,649
8582,a,650
5851,a,651
2172,a,652
9051,a,653
9998,a,654
10683,a,655
10118,a,656
9027,a,657
5525,a,658
4898,a,659
4233,a,660
9011,a,661
9916,a,662
9498,a,663
4094,a,664
8271,a,665
9733,a,666
5508,a,667
5366,a,668
9523,a,669
9444,a,670
7488,a,671
9020,a,672
9528,a,673
10452,a,674
10466,a,675
10015,a,676
9753,a,677
7468,a,678
6414,a,679
7228,a,680
10453,a,681
11720,a,682
10042,a,683
7292,a,684
7000,a,685
3102,a,686
5351,a,687
5737,a,688
7124,a,689
8800,a,690
8277,a,691
7716,a,692
7997,a,693
8643,a,694
10794,a,695
11663,a,696
11926,a,697
12491,a,698
10926,a,699
9440,a,700
10398,a,701
11090,a,702
11125,a,703
12153,a,704
12311,a,705
7653,a,706
8019,a,707
10466,a,708
11190,a,709
12028,a,710
12270,a,711
12097,a,712
10059,a,713
9728,a,714
11464,a,715
12418,a,716
13064,a,717
12858,a,718
13181,a,719
10123,a,720
9360,a,721
11715,a,722
12517,a,723
11398,a,724
10913,a,725
11531,a,726
9284,a,727
8590,a,728
11378,a,729
12312,a,730
12805,a,731
12809,a,732
12402,a,733
9188,a,734
8847,a,735
11551,a,736
12225,a,737
12713,a,738
13108,a,739
11906,a,740
8817,a,741
8306,a,742
10779,a,743
12357,a,744
12141,a,745
11884,a,746
11489,a,747
8548,a,748
7646,a,749
11218,a,750
12366,a,751
12828,a,752
12242,a,753
11216,a,754
8020,a,755
7374,a,756
10461,a,757
11553,a,758
11635,a,759
11858,a,760
10364,a,761
6508,a,762
5917,a,763
6287,a,764
10352,a,765
11096,a,766
11289,a,767
10285,a,768
7204,a,769
7022,a,770
8815,a,771
9085,a,772
9600,a,773
9469,a,774
8562,a,775
6016,a,776
5676,a,777
7568,a,778
7897,a,779
8156,a,780
8174,a,781
7256,a,782
5319,a,783
5118,a,784
5268,a,785
7556,a,786
7923,a,787
8239,a,788
7743,a,789
6055,a,790
5924,a,791
8271,a,792
8703,a,793
9229,a,794
9279,a,795
8549,a,796
7333,a,797
6776,a,798
9319,a,799
10215,a,800
10789,a,801
11022,a,802
11062,a,803
8602,a,804
8253,a,805
10593,a,806
11042,a,807
11273,a,808
11408,a,809
10962,a,810
8312,a,811
7831,a,812
9703,a,813
8137,a,814
9382,a,815
9961,a,816
9646,a,817
7466,a,818
6923,a,819
8056,a,820
8841,a,821
8929,a,822
9133,a,823
8475,a,824
6738,a,825
6002,a,826
6343,a,827
7792,a,828
8366,a,829
8532,a,830
8795,a,831
7375,a,832
7153,a,833
8047,a,834
8684,a,835
8847,a,836
9180,a,837
8842,a,838
7237,a,839
6415,a,840
7387,a,841
8132,a,842
2781,a,843
4526,a,844
6200,a,845
5306,a,846
4561,a,847
5183,a,848
6307,a,849
4309,a,850
3902,a,851
5678,a,852
2647,a,853
1953,a,854
3843,a,855
5096,a,856
5980,a,857
6059,a,858
5603,a,859
4575,a,860
3872,a,861
4818,a,862
4403,a,863
5691,a,864
6211,a,865
2965,a,866
2185,a,867
3804,a,868
4620,a,869
5570,a,870
4092,a,871
5605,a,872
5840,a,873
4586,a,874
4420,a,875
5173,a,876
5205,a,877
5490,a,878
5813,a,879
5925,a,880
4739,a,881
1524,a,882
4171,a,883
4862,a,884
4324,a,885
5239,a,886
2767,a,887
1791,a,888
1820,a,889
5372,a,890
5326,a,891
6026,a,892
6272,a,893
6556,a,894
4796,a,895
1963,a,896
5323,a,897
5094,a,898
6032,a,899
4566,a,900
5423,a,901
5012,a,902
4520,a,903
5680,a,904
5824,a,905
5206,a,906
4274,a,907
4183,a,908
5777,a,909
4735,a,910
5777,a,911
6208,a,912
6778,a,913
6722,a,914
6051,a,915
3352,a,916
2027,a,917
3127,a,918
4959,a,919
5432,a,920
5772,a,921
5180,a,922
2799,a,923
1900,a,924
3413,a,925
4663,a,926
5376,a,927
5195,a,928
3095,a,929
4141,a,930
3857,a,931
5762,a,932
6276,a,933
7028,a,934
6865,a,935
6848,a,936
5229,a,937
4373,a,938
6090,a,939
5995,a,940
5375,a,941
5139,a,942
5298,a,943
4667,a,944
4099,a,945
5803,a,946
6540,a,947
6472,a,948
6204,a,949
4048,a,950
4620,a,951
2926,a,952
5505,a,953
6801,a,954
6298,a,955
5209,a,956
5622,a,957
4167,a,958
4064,a,959
6651,a,960
6117,a,961
7182,a,962
7062,a,963
4659,a,964
2504,a,965
1943,a,966
5572,a,967
7072,a,968
7676,a,969
7622,a,970
7381,a,971
5846,a,972
5332,a,973
7174,a,974
7688,a,975
8116,a,976
7192,a,977
8384,a,978
6661,a,979
5749,a,980
7226,a,981
7652,a,982
8442,a,983
8434,a,984
5458,a,985
5231,a,986
4797,a,987
7961,a,988
8855,a,989
9622,a,990
9867,a,991
10032,a,992
7910,a,993
6528,a,994
7223,a,995
8497,a,996
9511,a,997
9782,a,998
8509,a,999
6373,a,1000
5881,a,1001
6280,a,1002
8316,a,1003
6211,a,1004
5264,a,1005
5690,a,1006
4846,a,1007
4812,a,1008
6681,a,1009
8605,a,1010
9285,a,1011
9595,a,1012
9523,a,1013
7378,a,1014
7073,a,1015
8450,a,1016
9301,a,1017
9065,a,1018
9111,a,1019
9126,a,1020
7283,a,1021
6724,a,1022
7853,a,1023
7983,a,1024
7283,a,1025
4601,a,1026
4483,a,1027
4902,a,1028
5321,a,1029
8949,a,1030
10121,a,1031
9430,a,1032
9083,a,1033
10179,a,1034
7954,a,1035
9243,a,1036
9750,a,1037
9533,a,1038
9755,a,1039
8822,a,1040
8341,a,1041
3344,a,1042
3422,a,1043
5224,a,1044
6770,a,1045
10010,a,1046
10533,a,1047
9179,a,1048
8220,a,1049
8581,a,1050
10451,a,1051
11131,a,1052
10695,a,1053
7128,a,1054
7180,a,1055
7359,a,1056
7956,a,1057
8209,a,1058
10891,a,1059
11324,a,1060
10693,a,1061
11461,a,1062
9534,a,1063
8369,a,1064
11431,a,1065
11871,a,1066
12475,a,1067
12747,a,1068
12593,a,1069
10618,a,1070
9498,a,1071
11640,a,1072
12623,a,1073
12980,a,1074
13582,a,1075
12651,a,1076
9383,a,1077
9331,a,1078
11481,a,1079
12496,a,1080
13063,a,1081
13339,a,1082
13147,a,1083
10215,a,1084
9408,a,1085
11902,a,1086
12585,a,1087
13136,a,1088
12996,a,1089
12388,a,1090
9070,a,1091
7923,a,1092
12337,a,1093
12538,a,1094
13880,a,1095
13910,a,1096
12794,a,1097
9294,a,1098
7470,a,1099
11700,a,1100
13174,a,1101
13204,a,1102
12866,a,1103
11700,a,1104
8410,a,1105
7645,a,1106
12161,a,1107
12915,a,1108
13355,a,1109
6204,a,1110
7822,a,1111
7903,a,1112
8330,a,1113
11973,a,1114
12524,a,1115
12765,a,1116
12546,a,1117
11394,a,1118
7580,a,1119
7563,a,1120
11320,a,1121
12011,a,1122
12382,a,1123
12616,a,1124
11626,a,1125
8060,a,1126
7081,a,1127
11092,a,1128
11817,a,1129
