DIA,Usos bicis abono anual ,Usos bicis abono ocasional ,Usos bicis total,,Usos abono anual acumulado,Usos abono ocasional acumulado,Usos total acumulado desde inicio,,Acumulado mes total,,,,,,,,,,
28/08/2016,6.451,325,6.776,,5.731.669,126.779,5.858.448,,,,,,,,,,,,
29/08/2016,9.176,143,9.319,,5.740.845,126.922,5.867.767,,,,,,,,,,,,
30/08/2016,10.113,102,10.215,,5.750.958,127.024,5.877.982,,,,,,,,,,,,
31/08/2016,10.646,143,10.789,,5.761.604,127.167,5.888.771,,243.882,,,,,,,,,,
01/09/2016,10.919,103,11.022,,5.772.523,127.270,5.899.793,,,,,,,,,,,,
02/09/2016,10.929,133,11.062,,5.783.452,127.403,5.910.855,,,,,,,,,,,,
03/09/2016,8.301,301,8.602,,5.791.753,127.704,5.919.457,,,,,,,,,,,,
04/09/2016,7.925,328,8.253,,5.799.678,128.032,5.927.710,,,,,,,,,,,,
05/09/2016,10.470,123,10.593,,5.810.148,128.155,5.938.303,,,,,,,,,,,,
06/09/2016,10.927,115,11.042,,5.821.075,128.270,5.949.345,,,,,,,,,,,,
07/09/2016,11.193,80,11.273,,5.832.268,128.350,5.960.618,,,,,,,,,,,,
08/09/2016,11.283,125,11.408,,5.843.551,128.475,5.972.026,,,,,,,,,,,,
09/09/2016,10.819,143,10.962,,5.854.370,128.618,5.982.988,,,,,,,,,,,,
10/09/2016,7.990,322,8.312,,5.862.360,128.940,5.991.300,,,,,,,,,,,,
11/09/2016,7.576,255,7.831,,5.869.936,129.195,5.999.131,,,,,,,,,,,,
12/09/2016,9.565,138,9.703,,5.879.501,129.333,6.008.834,,,,,,,,,,,,
13/09/2016,8.067,70,8.137,,5.887.568,129.403,6.016.971,,,,,,,,,,,,
14/09/2016,9.261,121,9.382,,5.896.829,129.524,6.026.353,,,,,,,,,,,,
15/09/2016,9.846,115,9.961,,5.906.675,129.639,6.036.314,,,,,,,,,,,,
16/09/2016,9.495,151,9.646,,5.916.170,129.790,6.045.960,,,,,,,,,,,,
17/09/2016,7.241,225,7.466,,5.923.411,130.015,6.053.426,,,,,,,,,,,,
18/09/2016,6.623,300,6.923,,5.930.034,130.315,6.060.349,,,,,,,,,,,,
19/09/2016,7.953,103,8.056,,5.937.987,130.418,6.068.405,,,,,,,,,,,,
20/09/2016,8.762,79,8.841,,5.946.749,130.497,6.077.246,,,,,,,,,,,,
21/09/2016,8.862,67,8.929,,5.955.611,130.564,6.086.175,,,,,,,,,,,,
22/09/2016,9.039,94,9.133,,5.964.650,130.658,6.095.308,,,,,,,,,,,,
23/09/2016,8.378,97,8.475,,5.973.028,130.755,6.103.783,,,,,,,,,,,,
24/09/2016,6.482,256,6.738,,5.979.510,131.011,6.110.521,,,,,,,,,,,,
25/09/2016,5.751,251,6.002,,5.985.261,131.262,6.116.523,,,,,,,,,,,,
26/09/2016,6.247,96,6.343,,5.991.508,131.358,6.122.866,,,,,,,,,,,,
27/09/2016,7.728,64,7.792,,5.999.236,131.422,6.130.658,,,,,,,,,,,,
28/09/2016,8.299,67,8.366,,6.007.535,131.489,6.139.024,,,,,,,,,,,,
29/09/2016,8.452,80,8.532,,6.015.987,131.569,6.147.556,,,,,,,,,,,,
30/09/2016,8.666,129,8.795,,6.024.653,131.698,6.156.351,,267.580,,,,,,,,,,
01/10/2016,7.097,278,7.375,,6.031.750,131.976,6.163.726,,,,,,,,,,,,
02/10/2016,6.789,364,7.153,,6.038.539,132.340,6.170.879,,,,,,,,,,,,
03/10/2016,7.955,92,8.047,,6.046.494,132.432,6.178.926,,,,,,,,,,,,
04/10/2016,8.608,76,8.684,,6.055.102,132.508,6.187.610,,,,,,,,,,,,
05/10/2016,8.796,51,8.847,,6.063.898,132.559,6.196.457,,,,,,,,,,,,
06/10/2016,9.093,87,9.180,,6.072.991,132.646,6.205.637,,,,,,,,,,,,
07/10/2016,8.688,154,8.842,,6.081.679,132.800,6.214.479,,,,,,,,,,,,
08/10/2016,6.889,348,7.237,,6.088.568,133.148,6.221.716,,,,,,,,,,,,
09/10/2016,6.079,336,6.415,,6.094.647,133.484,6.228.131,,,,,,,,,,,,
10/10/2016,7.277,110,7.387,,6.101.924,133.594,6.235.518,,,,,,,,,,,,
11/10/2016,8.050,82,8.132,,6.109.974,133.676,6.243.650,,,,,,,,,,,,
12/10/2016,2.759,22,2.781,,6.112.733,133.698,6.246.431,,,,,,,,,,,,
13/10/2016,4.491,35,4.526,,6.117.224,133.733,6.250.957,,,,,,,,,,,,
14/10/2016,6.151,49,6.200,,6.123.375,133.782,6.257.157,,,,,,,,,,,,
15/10/2016,5.162,144,5.306,,6.128.537,133.926,6.262.463,,,,,,,,,,,,
16/10/2016,4.381,180,4.561,,6.132.918,134.106,6.267.024,,,,,,,,,,,,
17/10/2016,5.113,70,5.183,,6.138.031,134.176,6.272.207,,,,,,,,,,,,
18/10/2016,6.263,44,6.307,,6.144.294,134.220,6.278.514,,,,,,,,,,,,
19/10/2016,4.292,17,4.309,,6.148.586,134.237,6.282.823,,,,,,,,,,,,
20/10/2016,3.888,14,3.902,,6.152.474,134.251,6.286.725,,,,,,,,,,,,
21/10/2016,5.610,68,5.678,,6.158.084,134.319,6.292.403,,,,,,,,,,,,
22/10/2016,2.604,43,2.647,,6.160.688,134.362,6.295.050,,,,,,,,,,,,
23/10/2016,1.917,36,1.953,,6.162.605,134.398,6.297.003,,,,,,,,,,,,
24/10/2016,3.811,32,3.843,,6.166.416,134.430,6.300.846,,,,,,,,,,,,
25/10/2016,5.060,36,5.096,,6.171.476,134.466,6.305.942,,,,,,,,,,,,
26/10/2016,5.920,60,5.980,,6.177.396,134.526,6.311.922,,,,,,,,,,,,
27/10/2016,5.986,73,6.059,,6.183.382,134.599,6.317.981,,,,,,,,,,,,
28/10/2016,5.541,62,5.603,,6.188.923,134.661,6.323.584,,,,,,,,,,,,
29/10/2016,4.389,186,4.575,,6.193.312,134.847,6.328.159,,,,,,,,,,,,
30/10/2016,3.617,255,3.872,,6.196.929,135.102,6.332.031,,,,,,,,,,,,
31/10/2016,4.701,117,4.818,,6.201.630,135.219,6.336.849,,180.498,,,,,,,,,,
01/11/2016,4.235,168,4.403,,6.205.865,135.387,6.341.252,,,,,,,,,,,,
02/11/2016,5.645,46,5.691,,6.211.510,135.433,6.346.943,,,,,,,,,,,,
03/11/2016,6.153,58,6.211,,6.217.663,135.491,6.353.154,,,,,,,,,,,,
04/11/2016,2.947,18,2.965,,6.220.610,135.509,6.356.119,,,,,,,,,,,,
05/11/2016,2.166,19,2.185,,6.222.776,135.528,6.358.304,,,,,,,,,,,,
06/11/2016,3.682,122,3.804,,6.226.458,135.650,6.362.108,,,,,,,,,,,,
07/11/2016,4.564,56,4.620,,6.231.022,135.706,6.366.728,,,,,,,,,,,,
08/11/2016,5.525,45,5.570,,6.236.547,135.751,6.372.298,,,,,,,,,,,,
09/11/2016,4.031,61,4.092,,6.240.578,135.812,6.376.390,,,,,,,,,,,,
10/11/2016,5.555,50,5.605,,6.246.133,135.862,6.381.995,,,,,,,,,,,,
11/11/2016,5.773,67,5.840,,6.251.906,135.929,6.387.835,,,,,,,,,,,,
12/11/2016,4.465,121,4.586,,6.256.371,136.050,6.392.421,,,,,,,,,,,,
13/11/2016,4.276,144,4.420,,6.260.647,136.194,6.396.841,,,,,,,,,,,,
14/11/2016,5.138,35,5.173,,6.265.785,136.229,6.402.014,,,,,,,,,,,,
15/11/2016,5.148,57,5.205,,6.270.933,136.286,6.407.219,,,,,,,,,,,,
16/11/2016,5.450,40,5.490,,6.276.383,136.326,6.412.709,,,,,,,,,,,,
17/11/2016,5.774,39,5.813,,6.282.157,136.365,6.418.522,,,,,,,,,,,,
18/11/2016,5.858,67,5.925,,6.288.015,136.432,6.424.447,,,,,,,,,,,,
19/11/2016,4.556,183,4.739,,6.292.571,136.615,6.429.186,,,,,,,,,,,,
20/11/2016,1.502,22,1.524,,6.294.073,136.637,6.430.710,,,,,,,,,,,,
21/11/2016,4.146,25,4.171,,6.298.219,136.662,6.434.881,,,,,,,,,,,,
22/11/2016,4.850,12,4.862,,6.303.069,136.674,6.439.743,,,,,,,,,,,,
23/11/2016,4.312,12,4.324,,6.307.381,136.686,6.444.067,,,,,,,,,,,,
24/11/2016,5.213,26,5.239,,6.312.594,136.712,6.449.306,,,,,,,,,,,,
25/11/2016,2.759,8,2.767,,6.315.353,136.720,6.452.073,,,,,,,,,,,,
26/11/2016,1.782,9,1.791,,6.317.135,136.729,6.453.864,,,,,,,,,,,,
27/11/2016,1.802,18,1.820,,6.318.937,136.747,6.455.684,,,,,,,,,,,,
28/11/2016,5.310,62,5.372,,6.324.247,136.809,6.461.056,,,,,,,,,,,,
29/11/2016,5.299,27,5.326,,6.329.546,136.836,6.466.382,,,,,,,,,,,,
30/11/2016,5.987,39,6.026,,6.335.533,136.875,6.472.408,,135.559,,,,,,,,,,
01/12/2016,6.249,23,6.272,,6.341.782,136.898,6.478.680,,,,,,,,,,,,
02/12/2016,6.511,45,6.556,,6.348.293,136.943,6.485.236,,,,,,,,,,,,
03/12/2016,4.623,173,4.796,,6.352.916,137.116,6.490.032,,,,,,,,,,,,
04/12/2016,1.937,26,1.963,,6.354.853,137.142,6.491.995,,,,,,,,,,,,
05/12/2016,5.256,67,5.323,,6.360.109,137.209,6.497.318,,,,,,,,,,,,
06/12/2016,4.903,191,5.094,,6.365.012,137.400,6.502.412,,,,,,,,,,,,
07/12/2016,5.971,61,6.032,,6.370.983,137.461,6.508.444,,,,,,,,,,,,
08/12/2016,4.449,117,4.566,,6.375.432,137.578,6.513.010,,,,,,,,,,,,
09/12/2016,5.341,82,5.423,,6.380.773,137.660,6.518.433,,,,,,,,,,,,
10/12/2016,4.806,206,5.012,,6.385.579,137.866,6.523.445,,,,,,,,,,,,
11/12/2016,4.386,134,4.520,,6.389.965,138.000,6.527.965,,,,,,,,,,,,
12/12/2016,5.650,30,5.680,,6.395.615,138.030,6.533.645,,,,,,,,,,,,
13/12/2016,5.799,25,5.824,,6.401.414,138.055,6.539.469,,,,,,,,,,,,
14/12/2016,5.191,15,5.206,,6.406.605,138.070,6.544.675,,,,,,,,,,,,
15/12/2016,4.259,15,4.274,,6.410.864,138.085,6.548.949,,,,,,,,,,,,
16/12/2016,4.169,14,4.183,,6.415.033,138.099,6.553.132,,,,,,,,,,,,
17/12/2016,5.660,117,5.777,,6.420.693,138.216,6.558.909,,,,,,,,,,,,
18/12/2016,4.624,111,4.735,,6.425.317,138.327,6.563.644,,,,,,,,,,,,
19/12/2016,5.723,54,5.777,,6.431.040,138.381,6.569.421,,,,,,,,,,,,
20/12/2016,6.158,50,6.208,,6.437.198,138.431,6.575.629,,,,,,,,,,,,
21/12/2016,6.711,67,6.778,,6.443.909,138.498,6.582.407,,,,,,,,,,,,
22/12/2016,6.676,46,6.722,,6.450.585,138.544,6.589.129,,,,,,,,,,,,
23/12/2016,5.949,102,6.051,,6.456.534,138.646,6.595.180,,,,,,,,,,,,
24/12/2016,3.265,87,3.352,,6.459.799,138.733,6.598.532,,,,,,,,,,,,
25/12/2016,1.911,116,2.027,,6.461.710,138.849,6.600.559,,,,,,,,,,,,
26/12/2016,2.996,131,3.127,,6.464.706,138.980,6.603.686,,,,,,,,,,,,
27/12/2016,4.799,160,4.959,,6.469.505,139.140,6.608.645,,,,,,,,,,,,
28/12/2016,5.185,247,5.432,,6.474.690,139.387,6.614.077,,,,,,,,,,,,
29/12/2016,5.561,211,5.772,,6.480.251,139.598,6.619.849,,,,,,,,,,,,
30/12/2016,4.972,208,5.180,,6.485.223,139.806,6.625.029,,,,,,,,,,,,
31/12/2016,2.696,103,2.799,,6.487.919,139.909,6.627.828,,155.420,,,,,,,,,,
01/01/2017,1.767,133,1.900,,6.489.686,140.042,6.629.728,,,,,,,,,,,,
02/01/2017,3.297,116,3.413,,6.492.983,140.158,6.633.141,,,,,,,,,,,,
03/01/2017,4.507,156,4.663,,6.497.490,140.314,6.637.804,,,,,,,,,,,,
04/01/2017,5.214,162,5.376,,6.502.704,140.476,6.643.180,,,,,,,,,,,,
05/01/2017,5.077,118,5.195,,6.507.781,140.594,6.648.375,,,,,,,,,,,,
06/01/2017,2.934,161,3.095,,6.510.715,140.755,6.651.470,,,,,,,,,,,,
07/01/2017,4.030,111,4.141,,6.514.745,140.866,6.655.611,,,,,,,,,,,,
08/01/2017,3.760,97,3.857,,6.518.505,140.963,6.659.468,,,,,,,,,,,,
09/01/2017,5.686,76,5.762,,6.524.191,141.039,6.665.230,,,,,,,,,,,,
10/01/2017,6.221,55,6.276,,6.530.412,141.094,6.671.506,,,,,,,,,,,,
11/01/2017,6.974,54,7.028,,6.537.386,141.148,6.678.534,,,,,,,,,,,,
12/01/2017,6.788,77,6.865,,6.544.174,141.225,6.685.399,,,,,,,,,,,,
13/01/2017,6.743,105,6.848,,6.550.917,141.330,6.692.247,,,,,,,,,,,,
14/01/2017,5.080,149,5.229,,6.555.997,141.479,6.697.476,,,,,,,,,,,,
15/01/2017,4.234,139,4.373,,6.560.231,141.618,6.701.849,,,,,,,,,,,,
16/01/2017,6.036,54,6.090,,6.566.267,141.672,6.707.939,,,,,,,,,,,,
17/01/2017,5.961,34,5.995,,6.572.228,141.706,6.713.934,,,,,,,,,,,,
18/01/2017,5.328,47,5.375,,6.577.556,141.753,6.719.309,,,,,,,,,,,,
19/01/2017,5.084,55,5.139,,6.582.640,141.808,6.724.448,,,,,,,,,,,,
20/01/2017,5.243,55,5.298,,6.587.883,141.863,6.729.746,,,,,,,,,,,,
21/01/2017,4.548,119,4.667,,6.592.431,141.982,6.734.413,,,,,,,,,,,,
22/01/2017,4.003,96,4.099,,6.596.434,142.078,6.738.512,,,,,,,,,,,,
23/01/2017,5.768,35,5.803,,6.602.202,142.113,6.744.315,,,,,,,,,,,,
24/01/2017,6.515,25,6.540,,6.608.717,142.138,6.750.855,,,,,,,,,,,,
25/01/2017,6.435,37,6.472,,6.615.152,142.175,6.757.327,,,,,,,,,,,,
26/01/2017,6.187,17,6.204,,6.621.339,142.192,6.763.531,,,,,,,,,,,,
27/01/2017,4.038,10,4.048,,6.625.377,142.202,6.767.579,,,,,,,,,,,,
28/01/2017,4.479,141,4.620,,6.629.856,142.343,6.772.199,,,,,,,,,,,,
29/01/2017,2.874,52,2.926,,6.632.730,142.395,6.775.125,,,,,,,,,,,,
30/01/2017,5.438,67,5.505,,6.638.168,142.462,6.780.630,,,,,,,,,,,,
31/01/2017,6.756,45,6.801,,6.644.924,142.507,6.787.431,,159.603,,,,,,,,,,
01/02/2017,6.245,53,6.298,,6.651.169,142.560,6.793.729,,,,,,,,,,,,
02/02/2017,5.170,39,5.209,,6.656.339,142.599,6.798.938,,,,,,,,,,,,
03/02/2017,5.573,49,5.622,,6.661.912,142.648,6.804.560,,,,,,,,,,,,
04/02/2017,4.093,74,4.167,,6.666.005,142.722,6.808.727,,,,,,,,,,,,
05/02/2017,3.967,97,4.064,,6.669.972,142.819,6.812.791,,,,,,,,,,,,
06/02/2017,6.602,49,6.651,,6.676.574,142.868,6.819.442,,,,,,,,,,,,
07/02/2017,6.097,20,6.117,,6.682.671,142.888,6.825.559,,,,,,,,,,,,
08/02/2017,7.163,19,7.182,,6.689.834,142.907,6.832.741,,,,,,,,,,,,
09/02/2017,7.020,42,7.062,,6.696.854,142.949,6.839.803,,,,,,,,,,,,
10/02/2017,4.641,18,4.659,,6.701.495,142.967,6.844.462,,,,,,,,,,,,
11/02/2017,2.477,27,2.504,,6.703.972,142.994,6.846.966,,,,,,,,,,,,
12/02/2017,1.929,14,1.943,,6.705.901,143.008,6.848.909,,,,,,,,,,,,
13/02/2017,5.536,36,5.572,,6.711.437,143.044,6.854.481,,,,,,,,,,,,
14/02/2017,6.990,82,7.072,,6.718.427,143.126,6.861.553,,,,,,,,,,,,
15/02/2017,7.583,93,7.676,,6.726.010,143.219,6.869.229,,,,,,,,,,,,
16/02/2017,7.515,107,7.622,,6.733.525,143.326,6.876.851,,,,,,,,,,,,
17/02/2017,7.240,141,7.381,,6.740.765,143.467,6.884.232,,,,,,,,,,,,
18/02/2017,5.624,222,5.846,,6.746.389,143.689,6.890.078,,,,,,,,,,,,
19/02/2017,5.006,326,5.332,,6.751.395,144.015,6.895.410,,,,,,,,,,,,
20/02/2017,7.069,105,7.174,,6.758.464,144.120,6.902.584,,,,,,,,,,,,
21/02/2017,7.568,120,7.688,,6.766.032,144.240,6.910.272,,,,,,,,,,,,
22/02/2017,8.019,97,8.116,,6.774.051,144.337,6.918.388,,,,,,,,,,,,
23/02/2017,7.093,99,7.192,,6.781.144,144.436,6.925.580,,,,,,,,,,,,
24/02/2017,8.240,144,8.384,,6.789.384,144.580,6.933.964,,,,,,,,,,,,
25/02/2017,6.264,397,6.661,,6.795.648,144.977,6.940.625,,,,,,,,,,,,
26/02/2017,5.421,328,5.749,,6.801.069,145.305,6.946.374,,,,,,,,,,,,
27/02/2017,7.052,174,7.226,,6.808.121,145.479,6.953.600,,,,,,,,,,,,
28/02/2017,7.552,100,7.652,,6.815.673,145.579,6.961.252,,173.821,,,,,,,,,,
01/03/2017,8.361,81,8.442,,6.824.034,145.660,6.969.694,,,,,,,,,,,,
02/03/2017,8.320,114,8.434,,6.832.354,145.774,6.978.128,,,,,,,,,,,,
03/03/2017,5.411,47,5.458,,6.837.765,145.821,6.983.586,,,,,,,,,,,,
04/03/2017,5.072,159,5.231,,6.842.837,145.980,6.988.817,,,,,,,,,,,,
05/03/2017,4.633,164,4.797,,6.847.470,146.144,6.993.614,,,,,,,,,,,,
06/03/2017,7.913,48,7.961,,6.855.383,146.192,7.001.575,,,,,,,,,,,,
07/03/2017,8.776,79,8.855,,6.864.159,146.271,7.010.430,,,,,,,,,,,,
08/03/2017,9.521,101,9.622,,6.873.680,146.372,7.020.052,,,,,,,,,,,,
09/03/2017,9.760,107,9.867,,6.883.440,146.479,7.029.919,,,,,,,,,,,,
10/03/2017,9.826,206,10.032,,6.893.266,146.685,7.039.951,,,,,,,,,,,,
11/03/2017,7.473,437,7.910,,6.900.739,147.122,7.047.861,,,,,,,,,,,,
12/03/2017,6.152,376,6.528,,6.906.891,147.498,7.054.389,,,,,,,,,,,,
13/03/2017,7.128,95,7.223,,6.914.019,147.593,7.061.612,,,,,,,,,,,,
14/03/2017,8.414,83,8.497,,6.922.433,147.676,7.070.109,,,,,,,,,,,,
15/03/2017,9.387,124,9.511,,6.931.820,147.800,7.079.620,,,,,,,,,,,,
16/03/2017,9.654,128,9.782,,6.941.474,147.928,7.089.402,,,,,,,,,,,,
17/03/2017,8.362,147,8.509,,6.949.836,148.075,7.097.911,,,,,,,,,,,,
18/03/2017,5.929,444,6.373,,6.955.765,148.519,7.104.284,,,,,,,,,,,,
19/03/2017,5.390,491,5.881,,6.961.155,149.010,7.110.165,,,,,,,,,,,,
20/03/2017,5.861,419,6.280,,6.967.016,149.429,7.116.445,,,,,,,,,,,,
21/03/2017,8.200,116,8.316,,6.975.216,149.545,7.124.761,,,,,,,,,,,,
22/03/2017,6.181,30,6.211,,6.981.397,149.575,7.130.972,,,,,,,,,,,,
23/03/2017,5.235,29,5.264,,6.986.632,149.604,7.136.236,,,,,,,,,,,,
24/03/2017,5.633,57,5.690,,6.992.265,149.661,7.141.926,,,,,,,,,,,,
25/03/2017,4.698,148,4.846,,6.996.963,149.809,7.146.772,,,,,,,,,,,,
26/03/2017,4.646,166,4.812,,7.001.609,149.975,7.151.584,,,,,,,,,,,,
27/03/2017,6.577,104,6.681,,7.008.186,150.079,7.158.265,,,,,,,,,,,,
28/03/2017,8.513,92,8.605,,7.016.699,150.171,7.166.870,,,,,,,,,,,,
29/03/2017,9.173,112,9.285,,7.025.872,150.283,7.176.155,,,,,,,,,,,,
30/03/2017,9.459,136,9.595,,7.035.331,150.419,7.185.750,,,,,,,,,,,,
31/03/2017,9.382,141,9.523,,7.044.713,150.560,7.195.273,,234.021,,,,,,,,,,
01/04/2017,6.999,379,7.378,,7.051.712,150.939,7.202.651,,,,,,,,,,,,
02/04/2017,6.737,336,7.073,,7.058.449,151.275,7.209.724,,,,,,,,,,,,
03/04/2017,8.290,160,8.450,,7.066.739,151.435,7.218.174,,,,,,,,,,,,
04/04/2017,9.173,128,9.301,,7.075.912,151.563,7.227.475,,,,,,,,,,,,
05/04/2017,8.953,112,9.065,,7.084.865,151.675,7.236.540,,,,,,,,,,,,
06/04/2017,9.001,110,9.111,,7.093.866,151.785,7.245.651,,,,,,,,,,,,
07/04/2017,8.972,154,9.126,,7.102.838,151.939,7.254.777,,,,,,,,,,,,
08/04/2017,6.919,364,7.283,,7.109.757,152.303,7.262.060,,,,,,,,,,,,
09/04/2017,6.272,452,6.724,,7.116.029,152.755,7.268.784,,,,,,,,,,,,
10/04/2017,7.576,277,7.853,,7.123.605,153.032,7.276.637,,,,,,,,,,,,
11/04/2017,7.694,289,7.983,,7.131.299,153.321,7.284.620,,,,,,,,,,,,
12/04/2017,6.985,298,7.283,,7.138.284,153.619,7.291.903,,,,,,,,,,,,
13/04/2017,4.233,368,4.601,,7.142.517,153.987,7.296.504,,,,,,,,,,,,
14/04/2017,4.056,427,4.483,,7.146.573,154.414,7.300.987,,,,,,,,,,,,
15/04/2017,4.300,602,4.902,,7.150.873,155.016,7.305.889,,,,,,,,,,,,
16/04/2017,4.757,564,5.321,,7.155.630,155.580,7.311.210,,,,,,,,,,,,
17/04/2017,8.567,382,8.949,,7.164.197,155.962,7.320.159,,,,,,,,,,,,
18/04/2017,9.908,213,10.121,,7.174.105,156.175,7.330.280,,,,,,,,,,,,
19/04/2017,9.269,161,9.430,,7.183.374,156.336,7.339.710,,,,,,,,,,,,
20/04/2017,8.928,155,9.083,,7.192.302,156.491,7.348.793,,,,,,,,,,,,
21/04/2017,9.973,206,10.179,,7.202.275,156.697,7.358.972,,,,,,,,,,,,
22/04/2017,7.539,415,7.954,,7.209.814,157.112,7.366.926,,,,,,,,,,,,
23/04/2017,8.660,583,9.243,,7.218.474,157.695,7.376.169,,,,,,,,,,,,
24/04/2017,9.476,274,9.750,,7.227.950,157.969,7.385.919,,,,,,,,,,,,
25/04/2017,9.410,123,9.533,,7.237.360,158.092,7.395.452,,,,,,,,,,,,
26/04/2017,9.664,91,9.755,,7.247.024,158.183,7.405.207,,,,,,,,,,,,
27/04/2017,8.761,61,8.822,,7.255.785,158.244,7.414.029,,,,,,,,,,,,
28/04/2017,8.217,124,8.341,,7.264.002,158.368,7.422.370,,,,,,,,,,,,
29/04/2017,3.229,115,3.344,,7.267.231,158.483,7.425.714,,,,,,,,,,,,
30/04/2017,3.278,144,3.422,,7.270.509,158.627,7.429.136,,233.863,,,,,,,,,,
01/05/2017,4.831,393,5.224,,7.275.340,159.020,7.434.360,,,,,,,,,,,,
02/05/2017,6.477,293,6.770,,7.281.817,159.313,7.441.130,,,,,,,,,,,,
03/05/2017,9.878,132,10.010,,7.291.695,159.445,7.451.140,,,,,,,,,,,,
04/05/2017,10.442,91,10.533,,7.302.137,159.536,7.461.673,,,,,,,,,,,,
05/05/2017,9.076,103,9.179,,7.311.213,159.639,7.470.852,,,,,,,,,,,,
06/05/2017,7.831,389,8.220,,7.319.044,160.028,7.479.072,,,,,,,,,,,,
07/05/2017,8.158,423,8.581,,7.327.202,160.451,7.487.653,,,,,,,,,,,,
08/05/2017,10.266,185,10.451,,7.337.468,160.636,7.498.104,,,,,,,,,,,,
09/05/2017,10.925,206,11.131,,7.348.393,160.842,7.509.235,,,,,,,,,,,,
10/05/2017,10.571,124,10.695,,7.358.964,160.966,7.519.930,,,,,,,,,,,,
11/05/2017,7.074,54,7.128,,7.366.038,161.020,7.527.058,,,,,,,,,,,,
12/05/2017,7.119,61,7.180,,7.373.157,161.081,7.534.238,,,,,,,,,,,,
13/05/2017,7.036,323,7.359,,7.380.193,161.404,7.541.597,,,,,,,,,,,,
14/05/2017,7.447,509,7.956,,7.387.640,161.913,7.549.553,,,,,,,,,,,,
15/05/2017,7.761,448,8.209,,7.395.401,162.361,7.557.762,,,,,,,,,,,,
16/05/2017,10.710,181,10.891,,7.406.111,162.542,7.568.653,,,,,,,,,,,,
17/05/2017,11.183,141,11.324,,7.417.294,162.683,7.579.977,,,,,,,,,,,,
18/05/2017,10.534,159,10.693,,7.427.828,162.842,7.590.670,,,,,,,,,,,,
19/05/2017,11.251,210,11.461,,7.439.079,163.052,7.602.131,,,,,,,,,,,,
20/05/2017,9.100,434,9.534,,7.448.179,163.486,7.611.665,,,,,,,,,,,,
21/05/2017,7.967,402,8.369,,7.456.146,163.888,7.620.034,,,,,,,,,,,,
22/05/2017,11.221,210,11.431,,7.467.367,164.098,7.631.465,,,,,,,,,,,,
23/05/2017,11.643,228,11.871,,7.479.010,164.326,7.643.336,,,,,,,,,,,,
24/05/2017,12.265,210,12.475,,7.491.275,164.536,7.655.811,,,,,,,,,,,,
25/05/2017,12.466,281,12.747,,7.503.741,164.817,7.668.558,,,,,,,,,,,,
26/05/2017,12.293,300,12.593,,7.516.034,165.117,7.681.151,,,,,,,,,,,,
27/05/2017,10.032,586,10.618,,7.526.066,165.703,7.691.769,,,,,,,,,,,,
28/05/2017,8.820,678,9.498,,7.534.886,166.381,7.701.267,,,,,,,,,,,,
29/05/2017,11.405,235,11.640,,7.546.291,166.616,7.712.907,,,,,,,,,,,,
30/05/2017,12.445,178,12.623,,7.558.736,166.794,7.725.530,,,,,,,,,,,,
31/05/2017,12.795,185,12.980,,7.571.531,166.979,7.738.510,,309.374,,,,,,,,,,
01/06/2017,13.450,132,13.582,,7.584.981,167.111,7.752.092,,,,,,,,,,,,
02/06/2017,12.453,198,12.651,,7.597.434,167.309,7.764.743,,,,,,,,,,,,
03/06/2017,9.006,377,9.383,,7.606.440,167.686,7.774.126,,,,,,,,,,,,
04/06/2017,9.061,270,9.331,,7.615.501,167.956,7.783.457,,,,,,,,,,,,
05/06/2017,11.299,182,11.481,,7.626.800,168.138,7.794.938,,,,,,,,,,,,
06/06/2017,12.320,176,12.496,,7.639.120,168.314,7.807.434,,,,,,,,,,,,
07/06/2017,12.873,190,13.063,,7.651.993,168.504,7.820.497,,,,,,,,,,,,
08/06/2017,13.128,211,13.339,,7.665.121,168.715,7.833.836,,,,,,,,,,,,
09/06/2017,12.915,232,13.147,,7.678.036,168.947,7.846.983,,,,,,,,,,,,
10/06/2017,9.813,402,10.215,,7.687.849,169.349,7.857.198,,,,,,,,,,,,
11/06/2017,9.001,407,9.408,,7.696.850,169.756,7.866.606,,,,,,,,,,,,
12/06/2017,11.676,226,11.902,,7.708.526,169.982,7.878.508,,,,,,,,,,,,
13/06/2017,12.425,160,12.585,,7.720.951,170.142,7.891.093,,,,,,,,,,,,
14/06/2017,13.021,115,13.136,,7.733.972,170.257,7.904.229,,,,,,,,,,,,
15/06/2017,12.870,126,12.996,,7.746.842,170.383,7.917.225,,,,,,,,,,,,
16/06/2017,12.229,159,12.388,,7.759.071,170.542,7.929.613,,,,,,,,,,,,
17/06/2017,8.785,285,9.070,,7.767.856,170.827,7.938.683,,,,,,,,,,,,
18/06/2017,7.718,205,7.923,,7.775.574,171.032,7.946.606,,,,,,,,,,,,
19/06/2017,12.197,140,12.337,,7.787.771,171.172,7.958.943,,,,,,,,,,,,
20/06/2017,12.409,129,12.538,,7.800.180,171.301,7.971.481,,,,,,,,,,,,
21/06/2017,13.700,180,13.880,,7.813.880,171.481,7.985.361,,,,,,,,,,,,
22/06/2017,13.718,192,13.910,,7.827.598,171.673,7.999.271,,,,,,,,,,,,
23/06/2017,12.616,178,12.794,,7.840.214,171.851,8.012.065,,,,,,,,,,,,
24/06/2017,8.943,351,9.294,,7.849.157,172.202,8.021.359,,,,,,,,,,,,
